uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"f7083896-6da9-4ee6-9565-f2184cbe1189","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Si",5.2000,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"9da62397-d656-4971-9f8e-fcf3220ab2d5","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.RAW",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","specificConductance",179.4000,"microsiemensPerCentimeter",,,5.4,,0,"formatChange|legacyData","GOOD"
"c222dc9d-a4d5-4d65-8414-0fdfc6ff8415","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","DOC",2.9980,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"5e03088d-2416-4cb9-875e-172ebbd0b8e0","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.PCN",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TPN",155.5920,"microgramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"094b76e3-7858-4372-ac61-b4998c3c9c1b","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Ca",7.9470,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"8f786d35-d5e4-4354-864c-935144e64584","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Fe",0.8140,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"4bc09ad4-64a1-49d5-ad9b-fb7c0ae43b4c","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Na",19.3640,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"5f960a21-3fd6-4d15-bbc9-5b4613bcd63b","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","NH4 - N",0.1480,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"3989085a-2033-43f1-a97c-f527372e9720","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Br",0.0050,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"c14ec383-c4b4-47d3-a177-a496aacaf1a6","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.PCN",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TPC",478.1520,"microgramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"15dc1e12-7663-4c51-bdbf-8f53fe135202","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TDN",0.2392,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"9095a57a-0031-4fab-b6a0-2ce8be66a9c9","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","NO2 - N",0.0100,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"bb3b0582-ab35-4d1f-be16-55b0ad9775b9","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0578,,,,5.4,,0,"formatChange|legacyData","GOOD"
"31a41cc0-b783-4058-9633-7216cef6a68d","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.RAW",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TSS",0.0050,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"cbab2a21-3a70-48bd-b3d3-060c53ff3240","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","Cl",25.1200,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"c90336b3-e326-405b-a6db-38617422e71e","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.FIL",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","SO4",9.6300,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"5a7a5657-3623-4648-b9ff-e08e858b8ad7","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20161110.RAW",,"2016-11-10T14:50Z","2016-11-10T14:50Z","EcoCore_CSU","TP",0.0180,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
