uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"4e67858f-ce71-4158-9fae-e8b5424ac7f8","D01","HOPB","HOPB.AOS.S2","2017-03-06T15:35Z","2017-03-06T20:15Z","HOPB.SS.20170306","HOPB.SS.20170306.ANC",,"support facility","ANC",6.62,22.0,"0.16",100.0,"IPT",,"adavila@neoninc.org",,,0.050,2.270,
"77ff3045-f087-4abc-9423-42a9e5c87e55","D01","HOPB","HOPB.AOS.S2","2017-03-06T15:35Z","2017-03-06T18:30Z","HOPB.SS.20170306","HOPB.SS.20170306.ALK",,"support facility","ALK",7.19,20.7,"0.16",100.0,"IPT",,"thillman@neoninc.org",0.150,7.730,,,
"9c494caa-863a-43c6-a8b9-1e6b060e8090","D01","HOPB","HOPB.AOS.S2","2017-03-06T15:35Z","2017-03-06T19:30Z","HOPB.SS.20170306","HOPB.SS.20170306.ALK.2",,"support facility","ALK",6.71,21.5,"0.16",100.0,"IPT","Rep 2 commissioning","adavila@neoninc.org",0.100,5.000,,,
"9b3483dd-64a4-4a02-a3e6-b78bd9fae74e","D01","HOPB","HOPB.AOS.S2","2017-03-16T14:30Z","2017-03-16T18:37Z","HOPB.SS.20170316","HOPB.SS.20170316.ALK",,"support facility","ALK",6.97,20.9,"0.16",100.0,"IPT",,"thillman@neoninc.org",0.120,6.220,,,
"1a3e1bda-a42e-498a-96ab-b943507f5c72","D01","HOPB","HOPB.AOS.S2","2017-03-16T14:30Z","2017-03-16T19:20Z","HOPB.SS.20170316","HOPB.SS.20170316.ALK.2",,"support facility","ALK",6.78,21.3,"0.16",100.0,"IPT","Alk rep 2","adavila@neoninc.org",0.020,0.760,,,
"71fe8967-de51-44e5-954a-047420d13a29","D01","HOPB","HOPB.AOS.S2","2017-03-16T14:30Z","2017-03-16T20:05Z","HOPB.SS.20170316","HOPB.SS.20170316.ANC",,"support facility","ANC",6.80,22.3,"0.16",100.0,"IPT",,"adavila@neoninc.org",,,0.110,5.410,
"ac3d1f64-804d-4c11-ab7d-9efcfceb215e","D01","HOPB","HOPB.AOS.S2","2017-03-20T13:00Z","2017-03-20T18:50Z","HOPB.SS.20170320","HOPB.SS.20170320.ALK",,"support facility","ALK",6.76,22.2,"0.16",100.0,"IPT",,"adavila@neoninc.org",0.090,4.350,,,
"85dae47f-3a6a-4a3d-8836-68dcb2a6535e","D01","HOPB","HOPB.AOS.S2","2017-03-20T13:00Z","2017-03-20T17:15Z","HOPB.SS.20170320","HOPB.SS.20170320.ANC",,"support facility","ANC",6.85,21.0,"0.16",100.0,"IPT",,"adavila@neoninc.org",,,0.120,6.120,
"fa07d12c-64b6-49f5-acec-9d80ee0f3bd9","D01","HOPB","HOPB.AOS.S2","2017-03-29T15:35Z","2017-03-30T14:45Z","HOPB.SS.20170329","HOPB.SS.20170329.ANC",,"support facility","ANC",6.74,20.4,"0.16",100.0,"IPT",,"adavila@neoninc.org",,,0.050,2.480,
"d80e6344-23a6-4f5f-bfee-4511f02b65fc","D01","HOPB","HOPB.AOS.S2","2017-03-29T15:35Z","2017-03-30T15:05Z","HOPB.SS.20170329","HOPB.SS.20170329.ALK",,"support facility","ALK",6.75,20.9,"0.16",100.0,"IPT",,"adavila@neoninc.org",0.070,3.690,,,
