uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"a4bbc8f8-e3cb-428c-a4e1-8e8179cc53d5","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","K",0.5350,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"7c811871-3687-43e2-9de1-109ac9693336","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TDS",60.3500,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"cf98ead2-6e3d-49ee-83f6-ee0e38f2ed32","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","DIC",2.6750,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"6296b5c3-8d09-4b60-a10b-0603ed242880","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","NO3+NO2 - N",0.0309,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"3b0568ee-5615-4096-a645-44fca6c5ceda","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","NO2 - N",0.0229,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"1006b966-904b-4479-a80e-982488bf7a77","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TDN",0.2700,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"aeeb74e5-3e22-44c3-97e6-3075573cf2f4","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW.3","A00000032610","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TOC",3.1050,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"2bd56ce2-debb-4819-ae8c-9186bb532152","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW.3","A00000032610","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TN",0.2241,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"46b11f90-effe-4857-9477-a5d49aed833c","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Mg",1.1180,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"132c493c-28ac-4068-993b-6fbd9110aaf8","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TDP",0.0005,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"279df034-783a-41bb-81bd-d56f1d890a98","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","DOC",3.2390,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"937518c6-581e-4e44-822d-5f2a6ebf3415","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Ortho - P",0.1080,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"c0f0e956-e346-41e5-8a2e-de89d1148353","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Si",6.5695,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"343ceba1-2171-42f2-b6eb-50b3f446896c","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Mg",1.1980,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"d4eda58a-0417-4e90-b186-fc196f6aaf78","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.PCN.3","A00000032616","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TPC",729.6718,"microgramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"68749503-44d8-40e5-b80f-303dd11004fa","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW.2","A00000032609","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TSS - Dry Mass",200.0000,"microgram",,,0.7,,0,"formatChange","GOOD"
"f030c3bc-41d5-405f-b907-3b370d8abdcd","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW.2","A00000032609","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TSS",4.0000,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"60a14b3c-5425-4162-b024-94a1aa9eac34","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Fe",0.0763,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"db6b84d3-4d7a-4cbb-a63c-3673fe753a8e","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Ortho - P",0.1010,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"8c8e9bce-5e35-4551-b056-f51532c539f8","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Ca",3.7747,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"7441c681-336b-4d00-b90a-2281ed9e0d77","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","NO2 - N",0.0228,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"29221311-7c19-4035-a647-90cbdf593b1b","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0789,,,,0.7,,0,"formatChange","GOOD"
"5ebf6d46-c68d-4fd9-8ae1-7aa70c82c8b4","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Ortho - P",0.7020,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"54ba3dc6-e82f-427a-aadc-01b4267dfc76","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Mn",0.0005,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"bf8ddd9d-d6e2-408b-8eaa-18d80ffa8608","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW","A00000032608","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TN",0.2327,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"e96156ac-b68e-4459-bd45-fce6c295e6ac","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","UV Absorbance (254 nm)",0.1127,,,,0.7,,0,"formatChange","GOOD"
"e192e73c-0e5a-4c60-8ceb-84199ff0ac20","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Na",8.8930,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"0cde8315-d8db-4a3a-a774-d8b90a54b8c5","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW.3","A00000032610","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","ANC",0.1800,"milliequivalentsPerLiter",,,0.7,,0,"formatChange","GOOD"
"9fef05ec-477c-4959-b174-2c8a1defb9a1","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Na",9.8380,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"1afc2461-68f2-4cde-a8f5-09fb93a70618","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TDP",0.0005,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"8d456029-a30f-43a0-8825-3d7a93dd66e5","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW","A00000032608","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","specificConductance",85.4300,"microsiemensPerCentimeter",,,0.7,,0,"formatChange","GOOD"
"db16e6ee-74c1-4e1c-8fb4-cb50a114622d","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Mn",0.0005,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"fe0ad9d0-899d-4fe4-bc9c-9b666c962293","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Na",9.6210,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"307f764e-ca13-4485-a81a-bea5e6a06f1d","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW.3","A00000032610","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TSS",4.0000,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"1bdba402-ce9c-4bd3-a57e-e864d92d9434","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.3","A00000032607","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Br",0.0050,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"be2b89d6-5f9d-4ff8-8d7f-d7e9bc76217e","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TDS",60.2100,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"b405195c-f7ef-45d7-8824-7116312d2dfc","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Cl",13.5200,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"5c3b8844-ef53-4fe3-9460-da087d501b68","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.RAW.2","A00000032609","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TP",0.1733,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"08950f42-75f1-4a64-8bc8-84097a61ed22","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Br",0.0050,"milligramsPerLiter",,"BDL",0.7,,0,"formatChange","GOOD"
"add01619-d873-4cc9-9f84-e846ab88a23e","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","DIC",2.5360,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"11ba0206-bfc0-44e8-a33f-f9f4a1a1cd5c","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.PCN.3","A00000032616","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","TPN",223.1855,"microgramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"02f1ba5d-af43-4f1a-8a19-0b564529b9dc","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL.2","A00000032606","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","NH4 - N",0.0351,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
"e066faec-4900-4d7f-976c-14e2f1c7b806","D01","HOPB","HOPB.AOS.S2","HOPB.SS.20181009.FIL","A00000032605","2018-10-09T15:06Z","2018-10-09T15:06Z","EcoCore_CSU","Br",3.0800,"milligramsPerLiter",,,0.7,,0,"formatChange","GOOD"
