uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"9366573b-252c-43b9-8e7f-dbd523397a38","D02","POSE","POSE.AOS.S2","POSE.SS.20220628.FIL.NUT.FB","B00000019845","2022-06-28T16:10Z","2022-06-28T16:10Z","Florida International University","Ortho - P",,"milligramsPerLiter","2022-08-12","ND",-1.0,,0,,"OK"
"e1c3ba04-7d34-4519-a10c-631a9d77f8f3","D02","POSE","POSE.AOS.S2","POSE.SS.20220628.FIL.NUT.FB","B00000019845","2022-06-28T16:10Z","2022-06-28T16:10Z","Florida International University","NO2 - N",,"milligramsPerLiter","2022-08-12","ND",-1.0,,0,,"OK"
"d4d84e4b-b10e-4395-84f2-fe72bf0eeafa","D02","POSE","POSE.AOS.S2","POSE.SS.20220628.FIL.NUT.FB","B00000019845","2022-06-28T16:10Z","2022-06-28T16:10Z","Florida International University","TDP",0.0021,"milligramsPerLiter","2022-08-16",,-1.0,,0,,"OK"
"092e2d14-735b-48ea-920a-1b3f2d5ab151","D02","POSE","POSE.AOS.S2","POSE.SS.20220628.RAW.NUT.LB","B00000019843","2022-06-28T16:10Z","2022-06-28T16:10Z","Florida International University","TP",0.0017,"milligramsPerLiter","2022-07-21",,-1.0,,0,,"OK"
"95af3006-ac22-4d46-9669-4901b3598c00","D02","POSE","POSE.AOS.S2","POSE.SS.20220628.FIL.NUT.FB","B00000019845","2022-06-28T16:10Z","2022-06-28T16:10Z","Florida International University","NO3+NO2 - N",0.0021,"milligramsPerLiter","2022-08-12",,-1.0,,0,,"OK"
"3c81dfb9-5237-432c-b36a-841c354959d2","D02","POSE","POSE.AOS.S2","POSE.SS.20220628.RAW.NUT.FB","B00000019844","2022-06-28T16:10Z","2022-06-28T16:10Z","Florida International University","TP",0.0035,"milligramsPerLiter","2022-07-21",,-1.0,,0,,"OK"
"5759735a-8bb0-4fc7-8c33-2b1a303ff26a","D02","POSE","POSE.AOS.S2","POSE.SS.20220628.FIL.NUT.FB","B00000019845","2022-06-28T16:10Z","2022-06-28T16:10Z","Florida International University","NH4 - N",,"milligramsPerLiter","2022-08-12","ND",-1.0,,0,,"OK"
"0332890c-ecfe-409c-95cc-7176ccbe9865","D02","POSE","POSE.AOS.S2","POSE.SS.20230418.RAW.WC.FB","A00000323767","2023-04-18T13:08Z","2023-04-18T13:08Z","EcoCore_CSU","TOC",0.4523,"milligramsPerLiter","2023-04-25",,1.2,,0,,"OK"
"94ac169f-06db-44ee-b2ce-381822e57b26","D02","POSE","POSE.AOS.S2","POSE.SS.20230418.RAW.WC.LB","A00000323766","2023-04-18T13:08Z","2023-04-18T13:08Z","EcoCore_CSU","TN",0.0598,"milligramsPerLiter","2023-04-25",,1.2,,0,,"OK"
"60c54157-2c69-474c-8864-42b222d4a9fc","D02","POSE","POSE.AOS.S2","POSE.SS.20230418.RAW.WC.FB","A00000323767","2023-04-18T13:08Z","2023-04-18T13:08Z","EcoCore_CSU","TSS",,"milligramsPerLiter","2023-04-24","ND",1.2,"TSS vol in ml = 100",0,,"OK"
