uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,wavelength,decadicAbsorbance,cuvetteLength,analysisDate,spectrumReplicateID,remarks,dataQF
"1fb25567-0e54-4ed8-b919-bcc018fa7860","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",412.0,0.00624,5,"2024-05-09","A",,
"4a508b26-3eae-4cdc-9bc4-5a9bff7b5717","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",362.0,0.01410,5,"2024-05-09","A",,
"b990707d-f7a7-4176-989c-14ac8faf273a","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",220.0,0.13706,5,"2024-05-09","A",,
"edfdb12b-545d-43bb-b988-40b1021c123e","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",448.0,0.00370,5,"2024-05-09","A",,
"7e60c8da-faef-4a84-8c55-98a8ba6cac94","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",250.0,0.06320,5,"2024-05-09","B",,
"b15cc6e9-f53c-458e-801b-174abfbc8956","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",542.0,0.00124,5,"2024-05-09","A",,
"106e39a7-2a8c-44ee-a33e-e4f3d006e9b7","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",530.0,0.00130,5,"2024-05-09","B",,
"12140f50-ba97-4ab1-8126-2a9d55bb7dd3","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",486.0,0.00226,5,"2024-05-09","B",,
"07ae786d-4212-4fe4-be19-959d25fdabcb","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",344.0,0.01864,5,"2024-05-09","B",,
"d334debd-17f7-43ea-ab33-dc17452d9bef","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",460.0,0.00312,5,"2024-05-09","A",,
"88f2f7d1-f333-4092-81e2-c8f35c994440","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",522.0,0.00144,5,"2024-05-09","B",,
"0400ed64-28cf-4391-a4f5-f3b929b2874d","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",430.0,0.00484,5,"2024-05-09","B",,
"2dcf3894-2d5f-4e70-98ad-a9fcd0abc3b6","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",232.0,0.08674,5,"2024-05-09","B",,
"94df63b3-d5f8-431b-8556-f18314124a68","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",400.0,0.00762,5,"2024-05-09","B",,
"05780d36-cf53-4b95-9e5f-db5f9e98ea03","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",348.0,0.01756,5,"2024-05-09","A",,
"b4538ec7-f5ba-4b8e-a32b-23e8f5789d42","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",508.0,0.00168,5,"2024-05-09","B",,
"4ad575b5-6277-4152-aef7-70bb7da9c1e8","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",258.0,0.05836,5,"2024-05-09","A",,
"fbcf27cd-23ca-48c8-8a32-f50de3b4f418","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",346.0,0.01814,5,"2024-05-09","B",,
"f914516c-dbe6-406d-98e7-4341f965236f","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",494.0,0.00208,5,"2024-05-09","A",,
"159f337b-3b2d-491e-a138-208dccd6d92a","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",384.0,0.00982,5,"2024-05-09","A",,
"cbc268b0-61bd-4fc5-b706-622c4158e147","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",584.0,0.00080,5,"2024-05-09","A",,
"bd664c29-9afe-4255-9e5d-8c191d8e862d","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",424.0,0.00528,5,"2024-05-09","B",,
"452fc252-efb1-4d4a-a522-ff24b5ab3f97","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",302.0,0.03432,5,"2024-05-09","A",,
"930f7ce8-16b0-4487-9ade-7e8fb0aab015","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",346.0,0.01814,5,"2024-05-09","A",,
"a99805fa-41f9-4217-9296-dad4daa6b801","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",266.0,0.05420,5,"2024-05-09","B",,
"117a0877-605c-4b13-9a5e-fcbdcf4a43ee","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",276.0,0.04872,5,"2024-05-09","B",,
"3930921c-12c7-4c30-91e4-3f19b0e4e7ad","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",360.0,0.01456,5,"2024-05-09","B",,
"22b56094-054c-4403-b4f8-bac23fe941a5","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",456.0,0.00328,5,"2024-05-09","A",,
"d811744f-6c87-4303-afee-a101ddcdb12f","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",286.0,0.04300,5,"2024-05-09","A",,
"786809ec-791c-43a2-811e-feed3887988e","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",396.0,0.00810,5,"2024-05-09","A",,
"12e00339-4453-491d-a7c8-ea0f20bbd2d5","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",472.0,0.00268,5,"2024-05-09","A",,
"d0807aa4-50b5-4845-993d-d0a7a7c49c81","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",342.0,0.01922,5,"2024-05-09","A",,
"571211e4-b03c-41cc-8001-308a0f1bc6e9","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",472.0,0.00266,5,"2024-05-09","B",,
"727cb05f-32f0-46a9-88f0-85755e181395","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",414.0,0.00604,5,"2024-05-09","A",,
"02b7d817-686f-4f90-9f82-55ef03cdcbf3","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",368.0,0.01278,5,"2024-05-09","A",,
"593fa9f1-7b6d-4adc-b757-61af6cd4d9e5","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",438.0,0.00432,5,"2024-05-09","A",,
"d465aacd-d765-4688-b88a-fb3ce8709fcd","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",290.0,0.04064,5,"2024-05-09","A",,
"935a315a-8c69-4465-9a24-76459b2000bb","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",246.0,0.06592,5,"2024-05-09","A",,
"9e4e479b-f2aa-4be3-b5b4-5c428385f62a","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",406.0,0.00696,5,"2024-05-09","B",,
"c994684a-0603-4530-9182-d673ae1d3d2d","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",490.0,0.00208,5,"2024-05-09","B",,
"53e8a583-e752-4772-a116-99b4bfbb2c8d","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",254.0,0.06068,5,"2024-05-09","A",,
"d9b6074f-7323-472a-a782-ab61131cecfc","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",404.0,0.00716,5,"2024-05-09","A",,
"cfa9a8a8-d587-484e-a548-da751d4d5800","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",572.0,0.00090,5,"2024-05-09","A",,
"32a04b55-78ce-4929-b215-c32fa80df3a6","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",304.0,0.03338,5,"2024-05-09","A",,
"6be4b52e-8174-45be-a03b-88a281b923e4","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",538.0,0.00124,5,"2024-05-09","B",,
"546ca8e5-3319-45c9-9b57-318c74af1166","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",440.0,0.00422,5,"2024-05-09","B",,
"6e0b25e5-6254-4c35-b1e3-7d53f1656aac","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",500.0,0.00190,5,"2024-05-09","A",,
"8bf375d0-95a7-40dc-a650-0709fa362185","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",454.0,0.00334,5,"2024-05-09","A",,
"f2f6f45f-2854-4b31-82d4-411fae27df3f","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",322.0,0.02592,5,"2024-05-09","A",,
"107456df-eb14-4d19-ad93-84d3758a058b","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",284.0,0.04418,5,"2024-05-09","A",,
"a4d806ac-ad4e-491d-bdc5-43876b01d94f","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",246.0,0.06598,5,"2024-05-09","B",,
"aad5a938-22de-4576-961c-0817a9c5ca6a","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",454.0,0.00334,5,"2024-05-09","B",,
"49eaf0e2-dd37-4460-9c5f-6763b17baec9","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",476.0,0.00256,5,"2024-05-09","B",,
"ff6edb98-a657-4cbc-aeac-1c48dac700a4","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",240.0,0.07220,5,"2024-05-09","A",,
"30967af4-49a2-4dd8-8956-f88829260ad9","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",386.0,0.00948,5,"2024-05-09","A",,
"3d2cbe78-8e55-4de6-9302-d351e2d17f71","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",224.0,0.11428,5,"2024-05-09","A",,
"717f0dc3-2cdf-4c79-b88c-b730a8dd7657","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",462.0,0.00296,5,"2024-05-09","A",,
"625bf9f4-d77c-4050-8a42-6cdcca1e5695","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",592.0,0.00074,5,"2024-05-09","A",,
"f81a21ea-557c-45ac-be72-d369bfe197e7","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",458.0,0.00314,5,"2024-05-09","B",,
"d58b6baa-89a9-4413-b15a-960668070c19","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",442.0,0.00404,5,"2024-05-09","A",,
"25996049-68a5-40df-8916-32a3475e2264","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",408.0,0.00672,5,"2024-05-09","B",,
"f2e9e2fe-e671-4c56-bd39-6cf7201d5b0f","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",548.0,0.00112,5,"2024-05-09","A",,
"ab34d7b3-4f31-4066-ad30-8a14133b832e","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",362.0,0.01410,5,"2024-05-09","B",,
"66e434d0-5427-41a1-ae60-47a15918a45e","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",258.0,0.05838,5,"2024-05-09","B",,
"b0de488d-2381-4511-9a59-5c36076900f7","D02","POSE","POSE.AOS.S2","POSE.SS.20240507.FIL","A00000371017","2024-05-07T14:32Z","2024-05-07T14:32Z","Illinois State Water Survey Central Analytical Laboratory",316.0,0.02826,5,"2024-05-09","A",,
