uid,laboratoryName,analyte,instrument,sopVersion,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"cefd5b45-acfc-489e-91c8-7cf41cb9ed08","Illinois State Water Survey Central Analytical Laboratory","UV Absorbance (280 nm)","Thermo Genesys 10S",,"SM 5910B",,0.001,"absorbance units",,"+/- % of nominal value at full scale","0.2",,,"Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"941b793a-6ad9-4a48-85f7-3512369100a9","Illinois State Water Survey Central Analytical Laboratory","Mn","Agilent 5100 ICP OES",,"EPA 200.7","Samples are not acidified",0.001,"milligramsPerLiter",1.300,"+/- % of nominal value at full scale",,7.400,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"0aefedb0-9cfc-401e-81d7-493efb419dc2","Illinois State Water Survey Central Analytical Laboratory","Br","Thermo Dionex Integron HPIC",,"EPA 300.0",,0.002,"milligramsPerLiter",4.400,"+/- % of nominal value at full scale",,15.100,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"192ab0b9-eeee-494c-8fee-12019e0bdbf8","Illinois State Water Survey Central Analytical Laboratory","pH","Mettler Toledo Seven Multi",,"SM 4500H+",,0.010,"pH",0.600,"+/- % of nominal value at full scale",,1.900,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"3f55c75d-e661-4f27-a9b3-7608f8fd43d6","Illinois State Water Survey Central Analytical Laboratory","Cl","Thermo Dionex Integron HPIC",,"EPA 300.0",,0.004,"milligramsPerLiter",2.300,"+/- % of nominal value at full scale",,5.200,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"c00a5f0f-9f74-42fd-b688-ebefd1245e8a","Illinois State Water Survey Central Analytical Laboratory","Fe","Agilent 5100 ICP OES",,"EPA 200.7","Samples are not acidified",0.008,"milligramsPerLiter",0.800,"+/- % of nominal value at full scale",,7.000,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"51da7be4-d88d-4adf-8580-a0b7337194f0","Illinois State Water Survey Central Analytical Laboratory","Si","Agilent 5100 ICP OES",,"EPA 200.7","Samples are not acidified",0.050,"milligramsPerLiter",1.000,"+/- % of nominal value at full scale",,6.900,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"62b374e6-ff0f-4f1e-aca3-f745f1ce2242","Illinois State Water Survey Central Analytical Laboratory","Ca","Agilent 5100 ICP OES",,"ASTM D1976-12","Samples are not acidified",0.005,"milligramsPerLiter",2.200,"+/- % of nominal value at full scale",,7.700,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"3bd949b4-6ba0-404a-b734-b33885cf9ac1","Illinois State Water Survey Central Analytical Laboratory","DOC","Shimadzu TOC-L",,"SM 5310B",,0.280,"milligramsPerLiter",1.700,"+/- % of nominal value at full scale",,7.400,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"aa24ec10-f6af-499c-9bcf-6d4eac7bc879","Illinois State Water Survey Central Analytical Laboratory","SO4","Thermo Dionex Integron HPIC",,"EPA 300.0",,0.006,"milligramsPerLiter",0.600,"+/- % of nominal value at full scale",,2.500,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"3729363f-ed6b-4c1e-ad94-c516bf8406d7","Illinois State Water Survey Central Analytical Laboratory","F","Thermo Dionex Integron HPIC",,"EPA 300.0",,0.039,"milligramsPerLiter",0.900,"+/- % of nominal value at full scale",,5.800,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"a81cb28b-ee23-4c9b-9c86-8dca167487de","Illinois State Water Survey Central Analytical Laboratory","DIC","Shimadzu TOC-L",,"SM 5310B",,0.130,"milligramsPerLiter",2.000,"+/- % of nominal value at full scale",,5.500,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"abc8c5e9-fd0b-40f3-9bf5-16e7012cd7f2","Illinois State Water Survey Central Analytical Laboratory","TDS","Hot water evaporating bath",,"SM 2540C",,7.000,"milligramsPerLiter",2.100,"+/- % of nominal value at full scale",,6.400,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
"8f308ca6-cc8e-411c-8a43-6e32b45616b3","Illinois State Water Survey Central Analytical Laboratory","K","Agilent 5100 ICP OES",,"ASTM D1976-12","Samples are not acidified",0.003,"milligramsPerLiter",1.400,"+/- % of nominal value at full scale",,7.200,"+/- % of nominal value at full scale","Illinois State Water Survey HEAL","2023-11-01","2024-12-31"
