uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"b675a6a6-eb44-4434-b702-ed5fa574a8a6","D06","KING","KING.AOS.S2","2017-05-02T16:31Z","2017-05-02T22:05Z","KING.SS.20170502","KING.SS.20170502.ANC",,"support facility","ANC",7.90,21.3,"1.6",100.0,"IPT",,"jkukulski",,,5.610,281.000,
"e583f804-a3d1-40d6-8836-e6315248ab72","D06","KING","KING.AOS.S2","2017-05-02T16:31Z","2017-05-02T22:05Z","KING.SS.20170502","KING.SS.20170502.ALK",,"support facility","ALK",7.95,21.1,"1.6",100.0,"IPT",,"jkukulski",5.690,285.000,,,
"bd43484b-1038-4c85-9011-009b652a36f9","D06","KING","KING.AOS.S2","2017-05-09T14:05Z","2017-05-09T19:30Z","KING.SS.20170509","KING.SS.20170509.ALK",,"support facility","ALK",7.83,23.0,"1.6",100.0,"IPT",,"egawanda",6.130,307.000,,,
"f4ad962e-0c0c-425d-81ac-1d6c35b30794","D06","KING","KING.AOS.S2","2017-05-09T14:05Z","2017-05-09T20:10Z","KING.SS.20170509","KING.SS.20170509.ANC",,"support facility","ANC",7.90,22.9,"1.6",100.0,"IPT",,"egawanda",,,6.010,301.000,
"6ae523cf-e64d-40de-b1fa-36a1980dc421","D06","KING","KING.AOS.S2","2017-05-17T13:10Z","2017-05-17T16:00Z","KING.SS.20170517","KING.SS.20170517.ANC",,"support facility","ANC",7.73,19.9,"1.6",100.0,"IPT",,"egawanda",,,6.110,306.000,
"2a7a4fda-40f1-434d-a87b-e04a99724386","D06","KING","KING.AOS.S2","2017-05-17T13:10Z","2017-05-17T15:40Z","KING.SS.20170517","KING.SS.20170517.ALK",,"support facility","ALK",7.91,18.6,"1.6",100.0,"IPT",,"egawanda",5.830,292.000,,,
"c0c27063-023e-45ac-875c-1440c915d7d4","D06","KING","KING.AOS.S2","2017-05-24T14:50Z","2017-05-24T20:50Z","KING.SS.20170524","KING.SS.20170524.ALK",,"support facility","ALK",7.65,20.7,"1.6",100.0,"IPT",,"jkukulski",6.150,308.000,,,
"75eaa11f-5b6b-4c52-b8fa-ef123e8f7865","D06","KING","KING.AOS.S2","2017-05-24T14:50Z","2017-05-24T21:15Z","KING.SS.20170524","KING.SS.20170524.ANC",,"support facility","ANC",7.71,21.2,"1.6",100.0,"IPT",,"jkukulski",,,6.190,310.000,
"52cd02ad-5fd2-401d-8a81-19e8c60d08aa","D06","KING","KING.AOS.S2","2017-05-30T15:00Z","2017-05-30T19:45Z","KING.SS.20170530","KING.SS.20170530.ANC",,"support facility","ANC",7.63,20.1,"1.6",100.0,"IPT",,"egawanda",,,6.210,311.000,
"e40e6c83-74ab-4a8f-beb9-d46718f20d98","D06","KING","KING.AOS.S2","2017-05-30T15:00Z","2017-05-30T19:15Z","KING.SS.20170530","KING.SS.20170530.ALK",,"support facility","ALK",7.81,20.1,"1.6",100.0,"IPT",,"egawanda",6.210,311.000,,,
