uid,laboratoryName,analyte,instrument,sopVersion,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"41524c19-7731-464d-96d3-857c24fbe868","EcoCore_CSU","Mn","Perkin Elmer Optima 7300 DV ICP",,"EPA 200.5",,0.001,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06","2022-04-30"
"e1aec29f-5038-4491-becc-ad30eb08c0a8","EcoCore_CSU","Br","Thermo Scientific Dionex ICS-1100 IC",,"EPA 300.0",,0.027,"milligramsPerLiter",0.004,"Standard deviation of nominal value",,0.425,"95% CI of combined uncertainty","Soil, Water and Plant Testing Laboratory, Colorado State University","2022-06-02","2023-07-26"
"640a2790-ebd2-44a7-be11-960119d12e9d","EcoCore_CSU","NO2 - N","OI Analytical 3700 Automated Chemistry Analyzer",,"Sulfanilamide (EPA 353.2)",,0.001,"milligramsPerLiter",0.050,"Standard deviation of nominal value",,0.121,"95% CI of combined uncertainty","EcoCore, Colorado State University","2020-02-05","2021-03-31"
"6970b322-8c6f-48e8-835f-93e9fc813f35","EcoCore_CSU","F","Thermo Scientific Dionex ICS-1100 IC",,"EPA 300.0",,0.013,"milligramsPerLiter",0.013,"Standard deviation of nominal value",,0.072,"95% CI of combined uncertainty","Soil, Water and Plant Testing Laboratory, Colorado State University","2022-06-02","2023-07-26"
"f306b879-b403-4084-947b-c1a56ae870eb","EcoCore_CSU","DOC","Shimadzu toc-L",,"Combustion/NDIR (EPA 415.3)",,0.097,"milligramsPerLiter",0.082,"Standard deviation of nominal value",,0.235,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-05-28","2021-04-15"
"c2a4ce5e-7e39-4c4c-8aa6-e3e686a6a946","EcoCore_CSU","TOC","Shimadzu toc-L",,"Combustion/NDIR (EPA 415.3)",,0.097,"milligramsPerLiter",0.121,"Standard deviation of nominal value",,0.320,"95% CI of combined uncertainty","EcoCore, Colorado State University","2021-04-15","2022-02-24"
"3400d87a-fe76-404e-80ed-6fb09f3f2a83","EcoCore_CSU","Mg","Perkin Elmer Optima 7300 DV ICP",,"EPA 200.5",,0.002,"milligramsPerLiter",1.474,"Standard deviation of nominal value",,6.516,"95% CI of combined uncertainty","Soil, Water and Plant Testing Laboratory, Colorado State University","2023-07-21",
"5b6eb42c-c501-4da3-bd40-ee58870b6211","EcoCore_CSU","TN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.028,"milligramsPerLiter",0.094,"Standard deviation of nominal value",,0.329,"95% CI of combined uncertainty","EcoCore, Colorado State University","2022-02-24","2023-07-19"
"93c46234-b291-4c7d-b8ad-64a208eda223","EcoCore_CSU","NH4 - N","OI Analytical 3700 Automated Chemistry Analyzer",,"Salicylate/nitroferricyanide (DIN 38406)",,0.020,"milligramsPerLiter",0.078,"Standard deviation of nominal value",,0.382,"95% CI of combined uncertainty","EcoCore, Colorado State University","2017-11-27","2019-07-03"
"75963b10-9177-490a-93f8-2d647abfc9e7","EcoCore_CSU","TN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.035,"milligramsPerLiter",0.065,"Standard deviation of nominal value",,0.247,"95% CI of combined uncertainty","EcoCore, Colorado State University","2021-04-15","2022-02-24"
