uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"329a324f-3e3e-47b6-bdbb-9af3f0e50dd2","D06","KING","KING.AOS.S2","KING.SS.20220502.RAW.NUT","B00000084767","2022-05-02T16:04Z","2022-05-02T16:04Z","Florida International University","TP",0.0291,"milligramsPerLiter","2022-08-09",,-1.0,,0,,"OK"
"21cb02d5-c7fc-40d8-8a9f-5ed4a0f71f37","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Mg",26.5200,"milligramsPerLiter","2022-09-21",,2.1,,0,,"OK"
"467f43ae-b96c-498f-9a69-076c87824c06","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL.NUT","B00000084768","2022-05-02T16:04Z","2022-05-02T16:04Z","Florida International University","NO2 - N",0.0011,"milligramsPerLiter","2022-08-22",,-1.0,,0,,"OK"
"62830380-57e5-4a75-8e64-2a01e2504f7c","D06","KING","KING.AOS.S2","KING.SS.20220502.RAW","A00000319412","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","TSS",,"milligramsPerLiter","2022-05-09","ND",2.1,"TSS vol in ml = 100",0,,"OK"
"ef0cc76a-af92-4414-a707-52f0839306a6","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0124,,"2022-05-03",,2.1,,0,,"OK"
"b1daaf91-475d-49a0-93fe-a70e3139d256","D06","KING","KING.AOS.S2","KING.SS.20220502.RAW","A00000319412","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","TN",0.1620,"milligramsPerLiter","2022-05-09",,2.1,,0,,"OK"
"36a3ae9e-a560-4e8a-9731-1d1dbfbd33e5","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","DIC",90.4600,"milligramsPerLiter","2022-05-12",,2.1,,0,,"OK"
"7fb3707c-eb1f-42e2-8b95-e74e5acf7914","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Si",8.8290,"milligramsPerLiter","2022-09-21",,2.1,,0,,"OK"
"1d6e7bcc-b6af-409b-aef1-d23fe21c169e","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","SO4",39.5270,,"2022-05-09",,2.1,,0,,"OK"
"841ab7be-3da5-4d8c-a984-e5a337654ad6","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Cl",1.8317,,"2022-05-09",,2.1,,0,,"OK"
"badd740f-6bcc-40d1-9216-9b2253411604","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","TDS",542.7000,"milligramsPerLiter","2022-05-03",,2.1,,0,,"OK"
"f9ed374c-4e49-4743-9748-5e9b74689e2e","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Ca",89.5300,"milligramsPerLiter","2022-09-21",,2.1,,0,,"OK"
"d385a8b2-9caf-48c9-99e5-6a0d72630855","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","TDN",0.1057,"milligramsPerLiter","2022-05-09",,2.1,,0,,"OK"
"1ca08811-fd76-4367-a168-0e2a4a740118","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0090,,"2022-05-03",,2.1,,0,,"OK"
"e5b8a8ff-4269-4db0-b11e-935af5ed353a","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","F",0.3107,,"2022-05-09",,2.1,,0,,"OK"
"5e6e9ea1-a6c6-42fe-a423-72af9ea1e546","D06","KING","KING.AOS.S2","KING.SS.20220502.RAW","A00000319412","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","TOC",1.2310,"milligramsPerLiter","2022-05-09",,2.1,,0,,"OK"
"2a600452-54b3-4647-a623-aa7020776da5","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","K",1.4590,"milligramsPerLiter","2022-09-21",,2.1,,0,,"OK"
"1ce77f07-7353-4d6b-a2dc-267c91aebe35","D06","KING","KING.AOS.S2","KING.SS.20220502.POM.1","A00000319416","2022-05-02T16:04Z","2022-05-02T16:04Z","SIRFER Lab at University of Utah","TPN",28.0446,"microgramsPerLiter",,,,,-1,,"OK"
"51b7682f-3700-46fc-85e5-dce5b20e4854","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL.NUT","B00000084768","2022-05-02T16:04Z","2022-05-02T16:04Z","Florida International University","Ortho - P",0.0024,"milligramsPerLiter","2022-08-22",,-1.0,,0,,"OK"
"81d330ba-3966-483a-9ab2-f08025eaeceb","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Mn",,"milligramsPerLiter","2022-09-21","ND",2.1,,0,,"OK"
"2b376ae7-571b-49b6-85c8-f0e840af1eec","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL.NUT","B00000084768","2022-05-02T16:04Z","2022-05-02T16:04Z","Florida International University","TDP",0.0254,"milligramsPerLiter","2022-09-06",,-1.0,,0,,"OK"
"48df70f7-6c51-4b30-b896-9f5375936b4c","D06","KING","KING.AOS.S2","KING.SS.20220502.POM.1","A00000319416","2022-05-02T16:04Z","2022-05-02T16:04Z","SIRFER Lab at University of Utah","TPC",182.6762,"microgramsPerLiter",,,,,-1,,"OK"
"354dec87-d9d1-4980-a117-8e8e5fb3957e","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL.NUT","B00000084768","2022-05-02T16:04Z","2022-05-02T16:04Z","Florida International University","NO3+NO2 - N",0.0398,"milligramsPerLiter","2022-08-22",,-1.0,,0,,"OK"
"c0529e79-6665-4a6c-b124-fa7e8824d29a","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Fe",,"milligramsPerLiter","2022-09-21","ND",2.1,,0,,"OK"
"2cde3345-e9ff-4a16-876f-373af2bac362","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL.NUT","B00000084768","2022-05-02T16:04Z","2022-05-02T16:04Z","Florida International University","NH4 - N",0.0133,"milligramsPerLiter","2022-08-22",,-1.0,,0,,"OK"
"54713864-e151-4fcd-8bf2-6482a704b320","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Br",,,"2022-05-09","ND",2.1,,0,,"OK"
"20c58390-ebc7-46e4-97d4-f4dd084a94a7","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","DOC",1.1410,"milligramsPerLiter","2022-05-09",,2.1,,0,,"OK"
"ea634a09-17c7-4152-b7ba-4f80e8715bb9","D06","KING","KING.AOS.S2","KING.SS.20220502.FIL","A00000319413","2022-05-02T16:04Z","2022-05-02T16:04Z","EcoCore_CSU","Na",4.8340,"milligramsPerLiter","2022-09-21",,2.1,,0,,"OK"
"e8fdf5f7-72f0-4127-91ef-80de1960a22b","D06","KING","KING.AOS.S2","KING.SS.20220509.FIL","A00000319432","2022-05-09T15:17Z","2022-05-09T15:17Z","EcoCore_CSU","Na",4.2450,"milligramsPerLiter","2022-09-14",,3.8,,0,,"OK"
"f0d4efa6-e892-43fe-8718-9abcbd663cfa","D06","KING","KING.AOS.S2","KING.SS.20220509.FIL","A00000319432","2022-05-09T15:17Z","2022-05-09T15:17Z","EcoCore_CSU","DOC",1.5620,"milligramsPerLiter","2022-05-10",,3.8,,0,,"OK"
"1a602cc6-3504-4b2d-86bc-434ce2afe64f","D06","KING","KING.AOS.S2","KING.SS.20220509.FIL","A00000319432","2022-05-09T15:17Z","2022-05-09T15:17Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0182,,"2022-05-10",,3.8,,0,,"OK"
"d6ca42d6-67bd-4786-8a60-4a33f2e16c3d","D06","KING","KING.AOS.S2","KING.SS.20220509.FIL","A00000319432","2022-05-09T15:17Z","2022-05-09T15:17Z","EcoCore_CSU","F",0.3246,,"2022-10-10",,3.8,,0,,"OK"
"524dd6ea-d83a-4142-a384-a7a2f4123642","D06","KING","KING.AOS.S2","KING.SS.20220509.FIL","A00000319432","2022-05-09T15:17Z","2022-05-09T15:17Z","EcoCore_CSU","TDN",0.1362,"milligramsPerLiter","2022-05-10",,3.8,,0,,"OK"
"c7493112-7471-43b1-ac0e-f9c346b59f53","D06","KING","KING.AOS.S2","KING.SS.20220509.FIL.NUT","B00000084781","2022-05-09T15:17Z","2022-05-09T15:17Z","Florida International University","Ortho - P",0.0097,"milligramsPerLiter","2022-08-22",,-1.0,,0,,"OK"
"0c0522f9-4a41-4241-85fc-c34a510e593c","D06","KING","KING.AOS.S2","KING.SS.20220509.FIL.NUT","B00000084781","2022-05-09T15:17Z","2022-05-09T15:17Z","Florida International University","TDP",0.0295,"milligramsPerLiter","2022-09-06",,-1.0,,0,,"OK"
