uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,wavelength,decadicAbsorbance,cuvetteLength,analysisDate,spectrumReplicateID,remarks,dataQF
"626f284b-87cb-4bb8-b82f-2bd0ddc87be7","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",276.0,0.01064,5,"2024-08-07","B",,
"38b4b951-58f5-43dd-bb34-ff8c4276be2f","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",280.0,0.01002,5,"2024-08-07","B",,
"0d30da1c-5161-4c87-b27d-94a67b1554d9","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",564.0,0.00030,5,"2024-08-07","A",,
"7786d10e-dc58-49d6-8211-79de9963d935","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",274.0,0.01088,5,"2024-08-07","A",,
"17806660-ab4f-4b21-8611-0c6ea425d380","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",588.0,0.00022,5,"2024-08-07","B",,
"3cef783c-46e6-40ca-85fb-09b800bfc521","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",424.0,0.00102,5,"2024-08-07","B",,
"a6f62c0a-f054-4dac-9391-711b6117761d","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",506.0,0.00042,5,"2024-08-07","B",,
"3c885435-496d-4d6a-abea-48aea6f82647","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",600.0,0.00024,5,"2024-08-07","A",,
"37dcf958-5690-4bfd-a3d6-bd3c88e82ac1","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",338.0,0.00358,5,"2024-08-07","B",,
"7e656d13-9a2f-499c-b4c3-dc132c09d9df","D06","KING","KING.AOS.S2","KING.SS.20240806.FIL","A00000440023","2024-08-06T12:52Z","2024-08-06T12:52Z","Illinois State Water Survey Central Analytical Laboratory",316.0,0.00530,5,"2024-08-07","B",,
