uid,laboratoryName,analyte,instrument,sopVersion,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"4d704b75-3c2a-4387-86d2-36b1893fa1fc","SIRFER Lab at University of Utah","TPC","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",5.000,"microgram",0.306,"+/- % of nominal value at full scale","0.030380221",0.124,"Standard deviation of nominal value","SIRFER","2023-02-06","2024-01-19"
"8629064d-b7c0-49a3-a101-8f1f2720076f","SIRFER Lab at University of Utah","TPN","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",4.000,"microgram",1.028,"+/- % of nominal value at full scale","-0.014090684",0.098,"Standard deviation of nominal value","SIRFER","2023-02-06","2024-01-19"
"d79c8832-4216-4c8d-87de-6586a0826ce6","SIRFER Lab at University of Utah","TPN","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",4.000,"microgram",1.917,"+/- % of nominal value at full scale","-0.040952858",0.115,"Standard deviation of nominal value","SIRFER","2023-02-06","2024-01-19"
"c437c1fc-b4ef-453b-8e49-52a8982788d3","SIRFER Lab at University of Utah","TPC","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",5.000,"microgram",0.332,"+/- % of nominal value at full scale","-0.02914957",0.135,"Standard deviation of nominal value","SIRFER","2023-02-06","2024-01-19"
"21801b51-ff46-4297-9dfe-11511addd5d0","SIRFER Lab at University of Utah","TPN","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",4.000,"microgram",1.275,"+/- % of nominal value at full scale",,0.121,"Standard deviation of nominal value","SIRFER","2021-11-16","2023-02-04"
"58ecf715-37a9-4e8d-8c50-96d13c703eed","SIRFER Lab at University of Utah","TPN","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",4.000,"microgram",1.957,"+/- % of nominal value at full scale",,0.116,"Standard deviation of nominal value","SIRFER","2021-11-16","2023-02-04"
"0a01dfda-d4fe-4780-b4c0-b05d7a0d728f","SIRFER Lab at University of Utah","TPC","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",5.000,"microgram",0.342,"+/- % of nominal value at full scale",,0.140,"Standard deviation of nominal value","SIRFER","2021-11-16","2023-02-04"
"129d37ac-c286-4d9c-88e0-1b5ab37e5d92","SIRFER Lab at University of Utah","TPC","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",5.000,"microgram",0.336,"+/- % of nominal value at full scale",,0.136,"Standard deviation of nominal value","SIRFER","2021-11-16","2023-02-04"
"19b5d33b-4087-4566-a95c-162162a9a425","SIRFER Lab at University of Utah","TPC","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",5.000,"microgram",0.574,"+/- % of nominal value at full scale",,0.233,"Standard deviation of nominal value","SIRFER","2016-10-01","2020-08-07"
"45e03bea-6269-4919-b178-0fc103483f04","SIRFER Lab at University of Utah","TPN","Elemental Analyzer coupled to a Thermo Delta IRMS","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","EA-combustion",4.000,"microgram",2.114,"+/- % of nominal value at full scale",,0.201,"Standard deviation of nominal value","SIRFER","2016-10-01","2020-08-07"
