uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"37bd06dd-602b-4034-a4b9-19f7a49cf59a","D11","PRIN","PRIN.AOS.S2","2017-04-04T09:40Z","2017-04-04T19:46Z","PRIN.SS.20170404","PRIN.SS.20170404.ALK",,"support facility","ALK",8.06,20.4,"1.6",100.0,"IPT",,"cburton@battelleecology.org",5.300,265.000,,,
"37c6f519-0ea3-4df1-80a4-db439a6af2a5","D11","PRIN","PRIN.AOS.S2","2017-04-04T09:40Z","2017-04-04T19:46Z","PRIN.SS.20170404","PRIN.SS.20170404.ANC",,"support facility","ANC",8.08,21.9,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,5.300,265.000,
"1a080d7e-5e6f-4076-a2b5-50fb692bdc1d","D11","PRIN","PRIN.AOS.S2","2017-04-18T10:40Z","2017-04-19T13:56Z","PRIN.SS.20170418","PRIN.SS.20170418.ANC",,"support facility","ANC",7.89,20.0,"1.6",100.0,"IPT",,"cburton@battelleecology.org",,,2.370,119.000,
"c66a627d-7b2e-4ed6-85f3-88617d86bbf9","D11","PRIN","PRIN.AOS.S2","2017-04-18T10:40Z","2017-04-19T14:18Z","PRIN.SS.20170418","PRIN.SS.20170418.ALK",,"support facility","ALK",7.98,17.0,"1.6",100.0,"IPT",,"cburton@battelleecology.org",2.270,114.000,,,
"bfb874e2-e4e2-4d54-9990-60082443a620","D11","PRIN","PRIN.AOS.S2","2017-04-24T10:35Z","2017-04-24T20:50Z","PRIN.SS.20170424","PRIN.SS.20170424.ALK",,"support facility","ALK",8.21,23.1,"1.6",100.0,"IPT",,"ghenson@neoninc.org",6.090,305.000,,,
"73f5e458-ffa6-4d0c-ab84-24eeee56440f","D11","PRIN","PRIN.AOS.S2","2017-04-24T10:35Z","2017-04-24T21:34Z","PRIN.SS.20170424","PRIN.SS.20170424.ANC",,"support facility","ANC",8.23,23.0,"1.6",100.0,"IPT",,"ghenson@neoninc.org",,,6.090,305.000,
"7028becf-d195-4eeb-8ec5-8be2cb77b911","D11","PRIN","PRIN.AOS.S2","2017-04-25T17:38Z","2017-04-25T21:25Z","PRIN.SS.20170425","PRIN.SS.20170425.ANC",,"support facility","ANC",8.20,24.5,"1.6",100.0,"IPT",,"ghenson@battelleecology.org",,,6.010,301.000,
"9a3e6155-b48c-406b-9133-5502937faa3d","D11","PRIN","PRIN.AOS.S2","2017-04-25T17:38Z","2017-04-25T21:40Z","PRIN.SS.20170425","PRIN.SS.20170425.ALK",,"support facility","ALK",8.31,23.8,"1.6",100.0,"IPT",,"ghenson@battelleecology.org",6.010,301.000,,,
"9d02aacc-370e-49c3-8ea6-677d676a3b2f","D11","PRIN","PRIN.AOS.S2","2017-04-26T17:13Z","2017-04-26T22:57Z","PRIN.SS.20170426","PRIN.SS.20170426.ANC",,"support facility","ANC",8.14,23.3,"1.6",100.0,"IPT",,"lhostert@battelleecology.org",,,6.210,311.000,
"e2b05a1e-122d-409a-82a7-97c76a4c331a","D11","PRIN","PRIN.AOS.S2","2017-04-26T17:13Z","2017-04-26T22:07Z","PRIN.SS.20170426","PRIN.SS.20170426.ALK",,"support facility","ALK",8.19,22.4,"1.6",100.0,"IPT",,"lhostert@battelleecology.org",6.110,306.000,,,
"1cd7bc49-76ef-48b1-9d1d-bccc2c99da11","D11","PRIN","PRIN.AOS.S2","2017-04-27T15:34Z","2017-04-27T18:24Z","PRIN.SS.20170427","PRIN.SS.20170427.ALK",,"support facility","ALK",8.22,20.0,"1.6",100.0,"IPT",,"lhostert@battelleecology.org",6.130,307.000,,,
"56cba9c8-0f2b-4ca2-b866-59ee4347ef7e","D11","PRIN","PRIN.AOS.S2","2017-04-27T15:34Z","2017-04-27T19:16Z","PRIN.SS.20170427","PRIN.SS.20170427.ANC",,"support facility","ANC",8.19,23.1,"1.6",100.0,"IPT",,"lhostert@battelleecology.org",,,6.310,316.000,
