uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"66c486b1-56ab-4540-8852-3943fdb44213","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20221101.FIL.NUT.FB","B00000105805","2022-11-01T14:28Z","2022-11-01T14:28Z","Florida International University","TDP",0.0026,"milligramsPerLiter","2023-01-11",,-51.0,,0,,"OK"
"b05f0ac2-c872-4f4f-9e8f-8719f11c205e","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20221101.RAW.NUT.FB","B00000105806","2022-11-01T14:28Z","2022-11-01T14:28Z","Florida International University","TP",0.0020,"milligramsPerLiter","2022-12-13",,-51.0,,0,,"OK"
"a0cab9fd-f034-46d6-ae56-c27f34a34479","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20221101.FIL.NUT.FB","B00000105805","2022-11-01T14:28Z","2022-11-01T14:28Z","Florida International University","NO2 - N",,"milligramsPerLiter","2023-01-05","ND",-51.0,,0,,"OK"
"4100b143-6bf2-430e-bfbf-4c3bb3f9a0fd","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20221101.FIL.NUT.FB","B00000105805","2022-11-01T14:28Z","2022-11-01T14:28Z","Florida International University","NO3+NO2 - N",0.0003,"milligramsPerLiter","2023-01-05","BDL",-51.0,,0,,"OK"
"ae7b944c-11d4-4488-8d61-7b3edc628819","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20221101.FIL.NUT.FB","B00000105805","2022-11-01T14:28Z","2022-11-01T14:28Z","Florida International University","NH4 - N",0.0018,"milligramsPerLiter","2023-01-05","BDL",-51.0,,0,,"OK"
"22bfa0b7-528d-488b-93b2-6bebb9352388","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20221101.RAW.NUT.LB","B00000105807","2022-11-01T14:28Z","2022-11-01T14:28Z","Florida International University","TP",0.0020,"milligramsPerLiter","2022-12-13",,-51.0,,0,,"OK"
"188e1afe-bc9d-4969-bbea-812a286cfafd","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20221101.FIL.NUT.FB","B00000105805","2022-11-01T14:28Z","2022-11-01T14:28Z","Florida International University","Ortho - P",0.0001,"milligramsPerLiter","2023-01-05","BDL",-51.0,,0,,"OK"
"1be46c80-a4fb-469c-af3a-7a15a4444242","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20230801.FIL.WC.FB","A00000418763","2023-08-01T16:22Z","2023-08-01T16:22Z","EcoCore_CSU","TDN",0.0262,"milligramsPerLiter","2023-08-07","BDL",8.8,,1,,"Cold Chain Broken"
"b01a89f5-e11b-4d8f-ba2b-1116b767049c","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20230801.RAW.WC.FB","A00000418641","2023-08-01T16:22Z","2023-08-01T16:22Z","EcoCore_CSU","TN",0.0400,"milligramsPerLiter","2023-08-07",,8.8,,1,,"Cold Chain Broken"
"9f240d69-8c13-4aac-8b0e-396562072c8c","D11","PRIN","PRIN.AOS.S2","PRIN.SS.20230801.RAW.WC.FB","A00000418641","2023-08-01T16:22Z","2023-08-01T16:22Z","EcoCore_CSU","TSS",,"milligramsPerLiter",,,8.8,,1,,"Limited Volume Analyte Not Analyzed"
