uid,laboratoryName,analyte,instrument,sopVersion,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"557b4004-0eac-4b22-8cd4-893995d17f87","Florida International University","NH4 - N","SEAL QuAAtro39 SFA, Astoria Rapid Flow Analyzer (RFA)","11","indophenol (Based on EPA 349.0)","RFA: Hypochlorite Solution to replace NaDTT Solution; SEAL: use manufactural recommended reagents",0.003,"milligramsPerLiter",0.015,"+/- % of nominal value at full scale",,0.042,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"85b9f589-061f-4b25-9347-e1a92f5611e1","Florida International University","TP","SEAL QuAAtro39 SFA, OI Analytical Flow Solution IV (FSIV), OI ALPKEM FSIV","10","molybdate and antimony (Based on EPA 365.1) - High Curve","Sample digestion based on Solorzano and Sharp (Limnol. Oceanogr., 25(4), 1980, 754-758)",0.003,"milligramsPerLiter",0.014,"+/- % of nominal value at full scale",,0.035,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"dc6d897a-59bb-4095-966f-605f382b3a81","Florida International University","NO3+NO2 - N","SEAL QuAAtro39 SFA, Astoria Rapid Flow Analyzer (RFA)","11","Cd reduction/sulfanilamide and NEDA (Based on EPA 535.4)",,0.002,"milligramsPerLiter",0.029,"+/- % of nominal value at full scale",,0.074,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"882bbf71-c001-4edd-8344-a61a9dc570dd","Florida International University","TN","ANTEK-9000, Elementar Trace S/N Cube","10","Pyrolysis and Chemiluminescence (Based on ASTM D5176-91)","Manufacture specific instrument settings",0.050,"milligramsPerLiter",0.025,"+/- % of nominal value at full scale",,0.064,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"45c336a1-1e93-4bac-ad30-4449b7f7df57","Florida International University","TDN","ANTEK-9000, Elementar Trace S/N Cube","10","Pyrolysis and Chemiluminescence (Based on ASTM D5176-91)","Manufacture specific instrument settings",0.050,"milligramsPerLiter",0.025,"+/- % of nominal value at full scale",,0.064,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"13fe5bd9-8cbe-465d-a99e-98c69b060e02","Florida International University","NO2 - N","SEAL QuAAtro39 SFA, Astoria Rapid Flow Analyzer (RFA)","11","Sulfanilamide and NEDA (Based on EPA 535.4)",,0.000,"milligramsPerLiter",0.016,"+/- % of nominal value at full scale",,0.044,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"8951a2c5-39ab-4ac0-8138-977c4267a990","Florida International University","TP","SEAL QuAAtro39 SFA, OI Analytical Flow Solution IV (FSIV), OI ALPKEM FSIV","10","molybdate and antimony (Based on EPA 365.1) - Low Curve","Sample digestion based on Solorzano and Sharp (Limnol. Oceanogr., 25(4), 1980, 754-758)",0.001,"milligramsPerLiter",0.021,"+/- % of nominal value at full scale",,0.054,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"9aa5477e-4130-4284-bba2-ee2d4ca3be7b","Florida International University","Ortho - P","SEAL QuAAtro39 SFA, Astoria Rapid Flow Analyzer (RFA)","11","molybdate and antimony (Based on EPA 365.1)",,0.002,"milligramsPerLiter",0.015,"+/- % of nominal value at full scale",,0.041,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"a941ac21-57bd-41f4-8ee4-4f0acd8f046e","Florida International University","TDP","SEAL QuAAtro39 SFA, OI Analytical Flow Solution IV (FSIV), OI ALPKEM FSIV","10","molybdate and antimony (Based on EPA 365.1) - Low Curve","Sample digestion based on Solorzano and Sharp (Limnol. Oceanogr., 25(4), 1980, 754-758)",0.001,"milligramsPerLiter",0.014,"+/- % of nominal value at full scale",,0.035,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
"fce32ced-5d8d-4d08-9705-6364406d90b8","Florida International University","TDP","SEAL QuAAtro39 SFA, OI Analytical Flow Solution IV (FSIV), OI ALPKEM FSIV","10","molybdate and antimony (Based on EPA 365.1) - High Curve","Sample digestion based on Solorzano and Sharp (Limnol. Oceanogr., 25(4), 1980, 754-758)",0.003,"milligramsPerLiter",0.021,"+/- % of nominal value at full scale",,0.054,"95% CI of combined uncertainty","CAChE-Nutrient Analysis Core Facility","2024-08-01","2025-07-31"
