uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"09d125ab-cba0-4f99-8170-571b812bbd3f","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20230523.RAW.NUT.LB","B00000121205","2023-05-23T20:40Z","2023-05-23T20:40Z","Florida International University","TP",0.0034,"milligramsPerLiter","2023-06-07",,-19.0,,0,,"OK"
"09cf8765-6ec0-4035-9fb0-dba801b8b9fa","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20230523.FIL.NUT.FB","B00000121206","2023-05-23T20:40Z","2023-05-23T20:40Z","Florida International University","NO2 - N",0.0002,"milligramsPerLiter","2023-06-28","BDL",-19.0,,0,,"OK"
"c350f30f-e27f-4f66-be88-4865aa72eeaf","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20230523.FIL.NUT.FB","B00000121206","2023-05-23T20:40Z","2023-05-23T20:40Z","Florida International University","Ortho - P",0.0007,"milligramsPerLiter","2023-06-28","BDL",-19.0,,0,,"OK"
"128a6df0-f190-4af8-807d-c7adef38e87b","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20230523.FIL.NUT.FB","B00000121206","2023-05-23T20:40Z","2023-05-23T20:40Z","Florida International University","NO3+NO2 - N",0.0006,"milligramsPerLiter","2023-06-27","BDL",-19.0,,0,,"OK"
"b9b9a64e-76f9-4467-876a-e5af77d1cade","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20230523.FIL.NUT.FB","B00000121206","2023-05-23T20:40Z","2023-05-23T20:40Z","Florida International University","TDP",0.0026,"milligramsPerLiter","2023-07-05",,-19.0,,0,,"OK"
"ed57a4f7-5033-44b0-897b-8f0a1259a98a","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20230523.RAW.NUT.FB","B00000121207","2023-05-23T20:40Z","2023-05-23T20:40Z","Florida International University","TP",0.0035,"milligramsPerLiter","2023-06-07",,-19.0,,0,,"OK"
"00a05992-a2a3-4a7f-a000-f59423a99f65","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20230523.FIL.NUT.FB","B00000121206","2023-05-23T20:40Z","2023-05-23T20:40Z","Florida International University","NH4 - N",,"milligramsPerLiter","2023-06-27","ND",-19.0,,0,,"OK"
"1f22c2bc-a4b8-407a-acf7-08897dee2a5e","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20240326.FIL.NUT.FB","B00000042275","2024-03-26T22:24Z","2024-03-26T22:24Z","Florida International University","Ortho - P",0.0004,"milligramsPerLiter","2024-05-11","BDL",-42.0,,0,,"OK"
"828b3209-90d0-424a-bc31-af6ac7296f8f","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20240326.FIL.NUT.FB","B00000042275","2024-03-26T22:24Z","2024-03-26T22:24Z","Florida International University","TDN",0.0600,"milligramsPerLiter","2024-05-16",,-42.0,,0,,"OK"
"bb870bd0-4d19-4d4f-98f6-21feb6260587","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20240326.RAW.NUT.FB","B00000042274","2024-03-26T22:24Z","2024-03-26T22:24Z","Florida International University","TN",0.0100,"milligramsPerLiter","2024-05-17","BDL",-42.0,,0,,"OK"
