uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"8bc724f3-74c5-4427-99ee-5bec2fac89a6","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL.NUT","B00000122614","2024-11-06T16:15Z","2024-11-06T16:15Z","Florida International University","TDN",0.1200,"milligramsPerLiter","2025-01-29",,-26.0,,0,,"OK"
"12155c98-ea63-42d5-bf59-c0f973ac1c83","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.POM.1","A00000447311","2024-11-06T16:15Z","2024-11-06T16:15Z","SIRFER Lab at University of Utah","TPC",63.4400,"microgramsPerLiter",,,,,-1,,"OK"
"22814e2a-2acf-4d91-a3f0-592113728252","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","DIC",3.1490,"milligramsPerLiter","2024-11-20",,-0.6,,0,,"OK"
"c26c74f4-7496-40cb-95ab-fdfdbdfb2d01","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","UV Absorbance (280 nm)",0.0204,"absorbance units","2024-11-08",,-0.6,,0,,"OK"
"f1f5cdea-17be-48da-a51f-345b2f659789","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.RAW.NUT","B00000122613","2024-11-06T16:15Z","2024-11-06T16:15Z","Florida International University","TP",0.0062,"milligramsPerLiter","2024-12-05",,-26.0,,0,,"OK"
"b555096f-9fd1-4314-a749-526478c68d3e","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","Fe",0.0022,"milligramsPerLiter","2024-11-13","BDL",-0.6,,0,,"OK"
"ca62cec7-f84f-44cf-aa0d-1e42a1e5f1cd","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","K",0.2418,"milligramsPerLiter","2024-11-13",,-0.6,,0,,"OK"
"e6fbb0b2-7d81-4cc2-af24-4d1bdcf47241","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","SO4",0.2193,"milligramsPerLiter","2024-11-08",,-0.6,,0,,"OK"
"2a47615f-7c04-4a5f-9796-de1421a2d3c9","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.RAW.NUT","B00000122613","2024-11-06T16:15Z","2024-11-06T16:15Z","Florida International University","TN",0.1200,"milligramsPerLiter","2025-01-29",,-26.0,,0,,"OK"
"d2541fad-369f-4838-9165-7bd07726fcd2","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.RAW","A00000447308","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","TOC",1.2580,"milligramsPerLiter","2024-11-22",,-0.6,,0,,"OK"
"eb7882b0-96b9-4072-96d8-95db7884507a","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","Mg",0.7431,"milligramsPerLiter","2024-11-13",,-0.6,,0,,"OK"
"4d6210ba-1e25-4524-9908-a906d36d3e50","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","Mn",0.0005,"milligramsPerLiter","2024-11-13","BDL",-0.6,,0,,"OK"
"8e2a6336-7ab4-4620-9e7d-b85765c727df","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL.NUT","B00000122614","2024-11-06T16:15Z","2024-11-06T16:15Z","Florida International University","NO3+NO2 - N",0.1122,"milligramsPerLiter","2024-12-17",,-26.0,,0,,"OK"
"68791a1e-5a72-4a3e-b878-36f271bcc7c6","D16","MCRA","MCRA.AOS.S2","MCRA.SS.20241106.FIL","A00000447309","2024-11-06T16:15Z","2024-11-06T16:15Z","Illinois State Water Survey Central Analytical Laboratory","Br",0.0037,"milligramsPerLiter","2024-11-08","BDL",-0.6,,0,,"OK"
