uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"830b7c2c-4dea-4298-b4b8-fb26826a5135","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","F",0.0005,"milligramsPerLiter",,"BDL",5.4,,0,"formatChange|legacyData","GOOD"
"5afb64f4-e3dc-498d-af84-c2894a8cc1b5","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.PCN",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","TPC",,"microgramsPerLiter",,,5.4,"Unknown reason for no analyte concentration as a result of external lab data format change",0,"formatChange|legacyData","Other"
"e9041b6b-6f45-4c41-9b37-112bb43abdc3","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.RAW",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","TN",0.4192,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"aee6e28b-5c26-4d42-80cc-8a400ef9d818","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.RAW",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","TSS",36.6000,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"82af8ffe-0c2e-4354-a126-0984612989e6","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Cl",12.2500,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"877fc536-e06d-4733-bf05-66468a52ad30","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","DOC",3.1740,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"d217c396-43c3-45f6-9983-f1c92afe637b","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","TDP",0.0070,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"96d36a2e-dabb-4e4c-ade8-b17903bd3303","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0699,,,,5.4,,0,"formatChange|legacyData","GOOD"
"64ab0493-c47e-4555-8a3c-dfece7d72891","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","Mg",2.4590,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"ddbe2577-8767-4d36-a9f7-df03e6aff77d","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.PCN",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","TPN",,"microgramsPerLiter",,,5.4,"Unknown reason for no analyte concentration as a result of external lab data format change",0,"formatChange|legacyData","Other"
"58752ea0-7df8-4dd1-9064-e41643b198c0","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.FIL",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","TDN",0.4170,"milligramsPerLiter",,,5.4,,0,"formatChange|legacyData","GOOD"
"e8f3365f-94d7-4d21-8cf9-1a42b4303bac","D19","CARI","CARI.AOS.S2","CARI.SS.20161004.RAW",,"2016-10-04T20:18Z","2016-10-04T20:18Z","EcoCore_CSU","specificConductance",87.6000,"microsiemensPerCentimeter",,,5.4,,0,"formatChange|legacyData","GOOD"
