uid,domainID,siteID,namedLocation,collectDate,titrationDate,parentSampleID,domainSampleID,domainSampleCode,titrationLocation,sampleType,initialSamplepH,initialSampleTemp,normality,sampleVolume,methodType,remarks,measuredBy,alkMeqPerL,alkMgPerL,ancMeqPerL,ancMgPerL,dataQF
"dd1c2df5-04f7-48c5-97d1-0bce163e9fb9","D19","CARI","CARI.AOS.S2","2018-05-01T18:37Z","2018-05-02T16:00Z","CARI.SS.20180501","CARI.SS.20180501.ALK",,"support facility","ALK",7.14,17.9,"0.16",50.0,"Gran",,"jmonroe@battelleecology.org",0.640,31.800,,,
"c2420f09-81b7-4d2a-aca5-4d7e0275e4f5","D19","CARI","CARI.AOS.S2","2018-05-01T18:37Z","2018-05-02T16:45Z","CARI.SS.20180501","CARI.SS.20180501.ANC",,"support facility","ANC",7.35,17.3,"0.16",50.0,"Gran",,"jmonroe@battelleecology.org",,,0.610,30.400,
"efb0cc01-608d-44de-b6fb-4aaab8f7c616","D19","CARI","CARI.AOS.S2","2018-05-08T18:38Z","2018-05-09T18:18Z","CARI.SS.20180508","CARI.SS.20180508.ANC",,"support facility","ANC",7.26,22.2,"0.16",50.0,"Gran",,"tsurgener@battelleecology.org",,,0.470,23.400,
"a3f3eaae-eac1-483b-a585-4b874c967ab9","D19","CARI","CARI.AOS.S2","2018-05-08T18:38Z","2018-05-09T16:30Z","CARI.SS.20180508","CARI.SS.20180508.ALK",,"support facility","ALK",7.28,17.6,"0.16",50.0,"Gran",,"jmonroe@battelleecology.org",0.480,23.800,,,
"76d2f35b-afe5-4180-8aa8-3fd296255475","D19","CARI","CARI.AOS.S2","2018-05-16T18:28Z","2018-05-17T17:14Z","CARI.SS.20180516","CARI.SS.20180516.ALK",,"support facility","ALK",6.87,23.7,"0.16",50.0,"Gran",,"TS, KLB",0.230,11.500,,,
"c5378dd6-2416-499e-8481-51261d4a5d0c","D19","CARI","CARI.AOS.S2","2018-05-16T18:28Z","2018-05-17T16:15Z","CARI.SS.20180516","CARI.SS.20180516.ANC",,"support facility","ANC",6.78,22.8,"0.16",50.0,"Gran",,"jmonroe@battelleecology.org",,,0.240,11.900,
"987dc0d9-6ee4-4ac1-ae16-c263a1743cc3","D19","CARI","CARI.AOS.S2","2018-05-21T18:56Z","2018-05-21T23:05Z","CARI.SS.20180521","CARI.SS.20180521.ALK",,"support facility","ALK",7.54,20.8,"0.16",50.0,"Gran",,"gdukelow@battelleecology.org",0.240,12.100,,,
"2ba72598-43e7-44bc-843f-4b3e587d4ba9","D19","CARI","CARI.AOS.S2","2018-05-21T18:56Z","2018-05-21T23:53Z","CARI.SS.20180521","CARI.SS.20180521.ANC",,"support facility","ANC",7.38,21.6,"0.16",50.0,"Gran",,"gdukelow@battelleecology.org",,,0.230,11.300,
"8a4acab2-155d-4eb5-9bee-1e2262ef5b53","D19","CARI","CARI.AOS.S2","2018-05-29T19:03Z","2018-05-30T17:07Z","CARI.SS.20180529","CARI.SS.20180529.ANC",,"support facility","ANC",7.16,16.7,"0.16",50.0,"Gran",,"gdukelow@battelleecology.org",,,0.340,17.000,
"a0c9aadf-c8ac-4f0d-a5c6-4d2f5d1c97ee","D19","CARI","CARI.AOS.S2","2018-05-29T19:03Z","2018-05-29T23:53Z","CARI.SS.20180529","CARI.SS.20180529.ALK",,"support facility","ALK",7.65,23.2,"0.16",50.0,"Gran",,"gdukelow@battelleecology.org",0.420,20.900,,,
