uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"6cd781db-ddf8-47d1-a08a-3cdff1d4acac","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","NO3+NO2 - N",0.5150,"milligramsPerLiter",,,1.8,,0,"formatChange","GOOD"
"52f41cfb-c15e-4410-abb7-40f9406b1327","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","TDN",0.6507,"milligramsPerLiter",,,1.8,,0,"formatChange","GOOD"
"52b8943f-78f5-4686-8700-afd1c7182784","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","K",0.9720,"milligramsPerLiter",,,1.8,,0,"formatChange","GOOD"
"af4561bc-5b9f-4cf6-ba0f-9bc42a3cfb34","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","DOC",1.5250,"milligramsPerLiter",,,1.8,,0,"formatChange","GOOD"
"c9c2630a-dc26-4b64-9190-c5ac1dfdfb4b","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0359,,,,1.8,,0,"formatChange","GOOD"
"d120ddce-f02a-4385-89f7-e66368bd97db","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","Na",1.8820,"milligramsPerLiter",,,1.8,,0,"formatChange","GOOD"
"8ac70b01-4872-4eb2-ba82-bdec0ffd058e","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","Fe",0.0005,"milligramsPerLiter",,"BDL",1.8,,0,"formatChange","GOOD"
"67f431f6-671a-448a-be51-3cf1f0496806","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","Si",6.6000,"milligramsPerLiter",,,1.8,,0,"formatChange","GOOD"
"27d09531-bc15-4da8-8d24-7d643933c9d3","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.POM.1","A00000065338","2019-01-22T20:07Z","2019-01-22T20:07Z","SIRFER Lab at University of Utah","TPN",50.7708,"microgramsPerLiter",,,,,-1,,"OK"
"7e0df619-9ddb-4c24-9891-c736031e0846","D19","CARI","CARI.AOS.reach","CARI.RE.20190122.FIL","A00000065342","2019-01-22T20:07Z","2019-01-22T20:07Z","EcoCore_CSU","NO2 - N",0.0579,"milligramsPerLiter",,,1.8,,0,"formatChange","GOOD"
