uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"785215d0-5979-423f-981e-f881df8ea56f","D19","CARI","CARI.AOS.S2","CARI.SS.20220405.FIL.NUT.FB","B00000125835","2022-04-05T18:58Z","2022-04-05T18:58Z","Florida International University","TDP",0.0084,"milligramsPerLiter","2022-04-27",,-1.0,,0,,"OK"
"17bbf94e-6c22-4eed-93e6-91489478da0f","D19","CARI","CARI.AOS.S2","CARI.SS.20220405.FIL.NUT.FB","B00000125835","2022-04-05T18:58Z","2022-04-05T18:58Z","Florida International University","NH4 - N",0.0031,"milligramsPerLiter","2022-04-18",,-1.0,,0,,"OK"
"e909e179-f306-4bb8-8caf-e59608815a58","D19","CARI","CARI.AOS.S2","CARI.SS.20220405.FIL.NUT.FB","B00000125835","2022-04-05T18:58Z","2022-04-05T18:58Z","Florida International University","NO2 - N",0.0006,"milligramsPerLiter","2022-04-19",,-1.0,,0,,"OK"
"0f8f82aa-e43d-4030-bc66-14da6d25f8e7","D19","CARI","CARI.AOS.S2","CARI.SS.20220405.RAW.NUT.LB","B00000145613","2022-04-05T18:58Z","2022-04-05T18:58Z","Florida International University","TP",0.0091,"milligramsPerLiter","2022-04-20",,-1.0,,0,,"OK"
"a5160c21-cf30-45de-be9a-c1c2f25c38e7","D19","CARI","CARI.AOS.S2","CARI.SS.20220405.FIL.NUT.FB","B00000125835","2022-04-05T18:58Z","2022-04-05T18:58Z","Florida International University","NO3+NO2 - N",0.0231,"milligramsPerLiter","2022-04-18",,-1.0,,0,,"OK"
"7e95cba2-5025-44fa-beac-3779a666883b","D19","CARI","CARI.AOS.S2","CARI.SS.20220405.RAW.NUT.FB","B00000145612","2022-04-05T18:58Z","2022-04-05T18:58Z","Florida International University","TP",0.0091,"milligramsPerLiter","2022-04-20",,-1.0,,0,,"OK"
"0ee21045-3c11-45d9-8290-187531c73eb0","D19","CARI","CARI.AOS.S2","CARI.SS.20220405.FIL.NUT.FB","B00000125835","2022-04-05T18:58Z","2022-04-05T18:58Z","Florida International University","Ortho - P",0.0039,"milligramsPerLiter","2022-04-18",,-1.0,,0,,"OK"
"004bc9b0-7253-4625-a93d-19afa71de776","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.FIL.NUT.FB","B00000147576","2023-01-10T22:05Z","2023-01-10T22:05Z","Florida International University","NO2 - N",0.0026,"milligramsPerLiter","2023-03-02",,-45.0,,0,,"OK"
"86875298-540b-4d76-a1a2-8bb60eb22492","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.WC.FB","A00000350148","2023-01-10T22:05Z","2023-01-10T22:05Z","EcoCore_CSU","TOC",0.9296,"milligramsPerLiter","2023-01-23",,1.9,,0,,"OK"
"ea8f3db6-f5ab-48a6-8326-c8453d661ae1","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.WC.LB","A00000350164","2023-01-10T22:05Z","2023-01-10T22:05Z","EcoCore_CSU","TSS",2.0000,"milligramsPerLiter","2023-01-22",,1.9,"TSS vol in ml = 100",0,,"OK"
"4bb0790c-2050-4059-b39d-1dbb5326bf72","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.WC.FB","A00000350148","2023-01-10T22:05Z","2023-01-10T22:05Z","EcoCore_CSU","TN",0.0570,"milligramsPerLiter","2023-01-23",,1.9,,0,,"OK"
"b61badea-3d2a-47d4-8b6a-757dbc036a8e","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.FIL.NUT.FB","B00000147576","2023-01-10T22:05Z","2023-01-10T22:05Z","Florida International University","TDP",0.0079,"milligramsPerLiter","2023-03-08",,-45.0,,0,,"OK"
"d07def50-4e68-413e-88d5-4a5520a74161","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.NUT.FB","B00000147577","2023-01-10T22:05Z","2023-01-10T22:05Z","Florida International University","TP",0.0075,"milligramsPerLiter","2023-02-24",,-45.0,,0,,"OK"
"941c6ade-38b3-4aef-997b-9df837a0e06d","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.WC.LB","A00000350164","2023-01-10T22:05Z","2023-01-10T22:05Z","EcoCore_CSU","TOC",0.9987,"milligramsPerLiter","2023-01-23",,1.9,,0,,"OK"
"5ddcd4f0-3d67-4da0-bbde-949115fa1913","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.WC.LB","A00000350164","2023-01-10T22:05Z","2023-01-10T22:05Z","EcoCore_CSU","TN",0.0735,"milligramsPerLiter","2023-01-23",,1.9,,0,,"OK"
"5ceac009-7baf-412e-8e23-f10a29cac532","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.FIL.NUT.FB","B00000147576","2023-01-10T22:05Z","2023-01-10T22:05Z","Florida International University","NH4 - N",0.0137,"milligramsPerLiter","2023-03-02",,-45.0,,0,,"OK"
"a6451a0b-f537-47ff-9a6a-7e4659830adf","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.NUT.LB","B00000147578","2023-01-10T22:05Z","2023-01-10T22:05Z","Florida International University","TP",0.0142,"milligramsPerLiter","2023-02-24",,-45.0,,0,,"OK"
"4b537f9e-0d91-4257-a4bb-f44689098c14","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.FIL.NUT.FB","B00000147576","2023-01-10T22:05Z","2023-01-10T22:05Z","Florida International University","Ortho - P",0.0012,"milligramsPerLiter","2023-03-02","BDL",-45.0,,0,,"OK"
"f3e8ee60-8d84-4338-803e-6a19412b1aef","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.RAW.WC.FB","A00000350148","2023-01-10T22:05Z","2023-01-10T22:05Z","EcoCore_CSU","TSS",2.0000,"milligramsPerLiter","2023-01-22",,1.9,"TSS vol in ml = 100",0,,"OK"
"804788ae-5b95-4797-a270-461c46fc3653","D19","CARI","CARI.AOS.S2","CARI.SS.20230110.FIL.NUT.FB","B00000147576","2023-01-10T22:05Z","2023-01-10T22:05Z","Florida International University","NO3+NO2 - N",0.0014,"milligramsPerLiter","2023-03-02","BDL",-45.0,,0,,"OK"
"ccac5dae-0a65-41d2-9ad6-3f963b1ea7f8","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.FIL.WC.FB","A00000430532","2024-01-16T20:44Z","2024-01-16T20:44Z","Illinois State Water Survey Central Analytical Laboratory","Cl",14.7605,"milligramsPerLiter","2024-01-22",,-1.0,,0,,"OK"
"8a03b4b5-f322-4ad6-857d-248030d917a1","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.FIL.WC.FB","A00000430532","2024-01-16T20:44Z","2024-01-16T20:44Z","Illinois State Water Survey Central Analytical Laboratory","DIC",27.4500,"milligramsPerLiter","2024-01-19",,-1.0,,0,,"OK"
"3adb1394-fb18-4c63-b3c6-aec9018a7584","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.FIL.WC.FB","A00000430532","2024-01-16T20:44Z","2024-01-16T20:44Z","Illinois State Water Survey Central Analytical Laboratory","UV Absorbance (280 nm)",0.0045,"absorbance units","2024-01-18",,-1.0,,0,,"OK"
"5716fed5-ebf5-4cce-9ab7-75346cd06197","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.FIL.WC.FB","A00000430532","2024-01-16T20:44Z","2024-01-16T20:44Z","Illinois State Water Survey Central Analytical Laboratory","Mg",12.7257,"milligramsPerLiter","2024-01-23",,-1.0,,0,,"OK"
"d1b6593d-e350-4b7a-aa02-370014edcac3","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.RAW.NUT.LB","B00000170982","2024-01-16T20:44Z","2024-01-16T20:44Z","Florida International University","TN",0.0600,"milligramsPerLiter","2024-02-29",,-38.0,,0,,"OK"
"80c14971-4cd2-4897-a1c8-33cc45d2ac70","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.RAW.WC.FB","A00000430530","2024-01-16T20:44Z","2024-01-16T20:44Z","Illinois State Water Survey Central Analytical Laboratory","TSS",,"milligramsPerLiter","2024-01-19","ND",-1.6,,0,,"OK"
"a6af3820-a3b2-4fbe-b62b-81be5d75d0a4","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.RAW.NUT.LB","B00000170982","2024-01-16T20:44Z","2024-01-16T20:44Z","Florida International University","TP",0.0047,"milligramsPerLiter","2024-02-20",,-38.0,,0,,"OK"
"a1f8ec85-2168-4de8-a23f-93d43ebe7e98","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.RAW.NUT.FB","B00000170983","2024-01-16T20:44Z","2024-01-16T20:44Z","Florida International University","TN",0.1400,"milligramsPerLiter","2024-02-29",,-38.0,,0,,"OK"
"52156862-7dd8-478c-bea7-a2c289087f52","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.FIL.WC.FB","A00000430532","2024-01-16T20:44Z","2024-01-16T20:44Z","Illinois State Water Survey Central Analytical Laboratory","SO4",22.9294,"milligramsPerLiter","2024-01-22",,-1.0,,0,,"OK"
"388c147a-f595-4384-838c-0d422ed8d2e2","D19","CARI","CARI.AOS.S2","CARI.SS.20240116.FIL.WC.FB","A00000430532","2024-01-16T20:44Z","2024-01-16T20:44Z","Illinois State Water Survey Central Analytical Laboratory","UV Absorbance (254 nm)",0.0075,"absorbance units","2024-01-18",,-1.0,,0,,"OK"
