uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,wavelength,decadicAbsorbance,cuvetteLength,analysisDate,spectrumReplicateID,remarks,dataQF
"ce38c267-4597-4956-ab3a-3579fe8a460b","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",598.0,0.00104,5,"2024-12-05","A",,
"4e7f151c-70ee-4e75-a624-80eabe6a60e9","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",562.0,0.00100,5,"2024-12-05","B",,
"518580da-7254-4e0c-8efe-785b6c83cfbc","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",556.0,0.00100,5,"2024-12-05","B",,
"0dd85367-b07b-4441-bd4c-d198658be00b","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",538.0,0.00118,5,"2024-12-05","B",,
"5c37e50a-0067-4ad6-89b8-2a5256eaefd4","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",408.0,0.00484,5,"2024-12-05","A",,
"c24f2dfd-7375-4e6c-a58e-f87173e1a1e4","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",464.0,0.00222,5,"2024-12-05","B",,
"5fcd720e-8a47-495b-b1ff-1eb4d951a5cd","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",540.0,0.00126,5,"2024-12-05","A",,
"0d5947ae-9cc5-4986-a4e8-78e61b98adcd","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",560.0,0.00100,5,"2024-12-05","B",,
"0c185ad2-2f9d-4dea-9773-7acb2e618cb9","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",272.0,0.04226,5,"2024-12-05","B",,
"70ca1464-37f6-4535-945f-205b4eb4e4b0","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",570.0,0.00092,5,"2024-12-05","B",,
"bd6192ef-64df-41ba-bd65-4899e934bb76","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",598.0,0.00082,5,"2024-12-05","B",,
"3653885e-a547-4ea8-a040-4ac5a73ffa1c","D19","CARI","CARI.AOS.S2","CARI.SS.20241203.FIL","A00000449604","2024-12-03T21:16Z","2024-12-03T21:16Z","Illinois State Water Survey Central Analytical Laboratory",298.0,0.02918,5,"2024-12-05","B",,
